Volts,Thr%,Ohms,Millis
0.00,0,0,21
2.26,50,50505,37
2.37,50,50505,537
2.35,50,50505,1037
2.37,50,50505,1537
1.22,25,25253,2046
1.23,26,26263,2120
1.28,27,27273,2187
1.33,28,28283,2254
1.36,29,29293,2321
1.42,30,30303,2388
1.45,31,31313,2455
1.51,32,32323,2522
1.55,33,33333,2589
1.63,34,34343,2656
1.65,35,35354,2723
1.70,36,36364,2790
1.76,37,37374,2857
1.80,38,38384,2924
1.84,39,39394,2991
1.89,40,40404,3058
1.95,41,41414,3125
1.97,42,42424,3192
2.02,43,43434,3259
2.09,44,44444,3326
2.14,45,45455,3393
2.17,46,46465,3460
2.23,47,47475,3527
2.29,48,48485,3594
2.31,49,49495,3661
2.36,50,50505,3728
2.41,51,51515,3795
2.47,52,52525,3862
2.51,53,53535,3929
2.54,54,54545,3996
2.59,55,55556,4064
2.66,56,56566,4131
2.70,57,57576,4198
2.76,58,58586,4265
2.80,59,59596,4332
2.83,60,60606,4399
2.90,61,61616,4466
2.94,62,62626,4533
2.99,63,63636,4600
3.02,64,64646,4667
3.10,65,65657,4734
3.15,66,66667,4801
3.18,67,67677,4868
3.23,68,68687,4935
3.29,69,69697,5002
3.32,70,70707,5069
3.38,71,71717,5136
3.43,72,72727,5203
3.44,73,73737,5270
3.48,74,74747,5337
3.59,75,75758,5404
3.58,76,76768,5472
3.66,77,77778,5539
3.70,78,78788,5606
3.74,79,79798,5673
3.80,80,80808,5740
3.86,81,81818,5807
3.90,82,82828,5874
3.98,83,83838,5941
3.97,84,84848,6008
4.03,85,85859,6075
4.09,86,86869,6142
4.13,87,87879,6209
4.20,88,88889,6276
4.21,89,89899,6343
4.24,90,90909,6410
4.34,91,91919,6477
4.39,92,92929,6544
4.42,93,93939,6611
4.51,94,94949,6678
4.48,95,95960,6745
4.55,96,96970,6812
4.60,97,97980,6880
4.68,98,98990,6947
4.69,99,100000,7014
4.63,98,98990,7063
4.57,97,97980,7103
4.60,96,96970,7143
4.49,95,95960,7183
4.47,94,94949,7223
4.40,93,93939,7264
4.34,92,92929,7304
4.30,91,91919,7344
4.26,90,90909,7384
4.25,89,89899,7424
4.19,88,88889,7464
4.15,87,87879,7504
4.11,86,86869,7544
4.03,85,85859,7584
3.99,84,84848,7624
3.93,83,83838,7664
3.93,82,82828,7704
3.83,81,81818,7744
3.82,80,80808,7784
3.74,79,79798,7824
3.72,78,78788,7864
3.64,77,77778,7904
3.61,76,76768,7944
3.58,75,75758,7984
3.50,74,74747,8024
3.48,73,73737,8064
3.41,72,72727,8104
3.39,71,71717,8144
3.32,70,70707,8184
3.25,69,69697,8224
3.22,68,68687,8264
3.16,67,67677,8304
3.13,66,66667,8344
3.10,65,65657,8384
3.04,64,64646,8424
2.98,63,63636,8464
2.93,62,62626,8504
2.91,61,61616,8544
2.85,60,60606,8584
2.81,59,59596,8624
2.76,58,58586,8664
2.70,57,57576,8704
2.64,56,56566,8744
2.60,55,55556,8784
2.56,54,54545,8824
2.53,53,53535,8864
2.47,52,52525,8904
2.43,51,51515,8944
