Volts,Thr%,Ohms,Millis
0.00,0,0,21
0.00,0,0,271
0.00,0,0,521
0.00,0,0,771
0.00,0,0,1021
0.00,0,0,1271
0.00,0,0,1521
0.00,0,0,1771
0.00,0,0,2021
0.00,0,0,2271
0.00,0,0,2521
0.00,0,0,2770
0.00,0,0,3021
0.00,0,0,3271
0.00,0,0,3521
0.00,0,0,3771
0.00,0,0,4021
0.00,0,0,4271
0.00,0,0,4521
0.00,0,0,4771
0.00,0,0,5021
0.00,0,0,5271
0.00,0,0,5432
0.00,0,0,5682
0.00,0,0,5932
0.00,0,0,6182
0.00,0,0,6432
2.24,50,50505,6449
2.36,50,50505,6699
2.37,50,50505,6949
2.38,50,50505,7199
2.38,50,50505,7449
2.37,50,50505,7699
2.37,50,50505,7949
2.36,50,50505,8199
2.36,50,50505,8449
2.37,50,50505,8699
1.19,25,25253,8717
1.21,26,26263,8842
1.26,27,27273,8909
1.32,28,28283,8976
1.36,29,29293,9043
1.41,30,30303,9110
1.45,31,31313,9177
1.50,32,32323,9244
1.55,33,33333,9312
1.61,34,34343,9379
1.66,35,35354,9446
1.69,36,36364,9513
1.74,37,37374,9580
1.79,38,38384,9647
1.84,39,39394,9714
1.89,40,40404,9781
1.94,41,41414,9848
1.99,42,42424,9915
2.03,43,43434,9982
2.07,44,44444,10049
2.14,45,45455,10116
2.17,46,46465,10183
2.22,47,47475,10250
2.27,48,48485,10317
2.32,49,49495,10384
2.37,50,50505,10451
2.41,51,51515,10518
2.46,52,52525,10585
2.50,53,53535,10652
2.56,54,54545,10720
2.61,55,55556,10787
2.65,56,56566,10854
2.70,57,57576,10921
2.75,58,58586,10988
2.80,59,59596,11055
2.85,60,60606,11122
2.89,61,61616,11189
2.93,62,62626,11256
3.00,63,63636,11323
3.04,64,64646,11390
3.10,65,65657,11457
3.13,66,66667,11524
3.18,67,67677,11591
3.23,68,68687,11658
3.27,69,69697,11725
3.32,70,70707,11792
3.37,71,71717,11859
3.43,72,72727,11926
3.47,73,73737,11993
3.52,74,74747,12060
3.56,75,75758,12128
3.62,76,76768,12195
3.66,77,77778,12262
3.71,78,78788,12329
3.75,79,79798,12396
3.80,80,80808,12463
3.85,81,81818,12530
3.91,82,82828,12597
3.96,83,83838,12664
3.98,84,84848,12731
4.04,85,85859,12798
4.09,86,86869,12865
4.14,87,87879,12932
4.18,88,88889,12999
4.23,89,89899,13066
4.29,90,90909,13133
4.32,91,91919,13200
4.37,92,92929,13267
4.42,93,93939,13334
4.47,94,94949,13401
4.53,95,95960,13468
4.57,96,96970,13536
4.62,97,97980,13603
4.65,98,98990,13670
4.71,99,100000,13737
4.71,99,100000,13743
4.71,99,100000,13993
4.67,98,98990,14052
4.60,97,97980,14092
4.57,96,96970,14133
4.53,95,95960,14173
4.47,94,94949,14213
4.42,93,93939,14253
4.36,92,92929,14294
4.33,91,91919,14333
4.26,90,90909,14373
4.25,89,89899,14413
4.19,88,88889,14453
4.13,87,87879,14493
4.09,86,86869,14533
4.05,85,85859,14573
3.99,84,84848,14613
3.95,83,83838,14653
3.90,82,82828,14693
3.84,81,81818,14733
3.79,80,80808,14773
3.76,79,79798,14813
3.71,78,78788,14853
3.66,77,77778,14893
3.60,76,76768,14934
3.57,75,75758,14973
3.51,74,74747,15013
3.47,73,73737,15053
3.42,72,72727,15093
3.38,71,71717,15133
3.32,70,70707,15173
3.28,69,69697,15213
3.24,68,68687,15253
3.18,67,67677,15293
3.13,66,66667,15333
3.10,65,65657,15373
3.03,64,64646,15413
2.99,63,63636,15453
2.94,62,62626,15493
2.89,61,61616,15533
2.86,60,60606,15574
2.81,59,59596,15613
2.76,58,58586,15653
2.70,57,57576,15693
2.66,56,56566,15733
2.61,55,55556,15773
2.56,54,54545,15813
2.51,53,53535,15853
2.47,52,52525,15893
2.42,51,51515,15933
2.39,50,50505,15973
2.37,50,50505,16223
0.00,0,0,16444
0.00,0,0,16694
0.00,0,0,16944
0.00,0,0,17195
0.00,0,0,17445
0.00,0,0,17695
0.00,0,0,17945
0.00,0,0,18195
0.00,0,0,18445
0.00,0,0,18695
0.00,0,0,18944
0.00,0,0,19195
0.00,0,0,19445
0.00,0,0,19695
0.00,0,0,19945
0.00,0,0,20195
0.00,0,0,20321
0.00,0,0,20571
0.00,0,0,20822
0.00,0,0,21072
0.00,0,0,21322
0.00,0,0,21571
0.00,0,0,21822
0.00,0,0,22072
0.00,0,0,22322
