Volts,Thr%,Ohms,Millis
1.19,0,0,21
1.16,50,50505,27
0.00,50,50505,527
0.00,50,50505,1026
0.00,50,50505,1527
0.00,50,50505,2027
0.02,25,25253,2038
0.00,26,26263,2112
0.00,27,27273,2179
0.00,28,28283,2246
0.00,29,29293,2313
0.00,30,30303,2380
0.00,31,31313,2447
0.02,32,32323,2514
0.00,33,33333,2581
0.00,34,34343,2648
0.00,35,35354,2715
0.00,36,36364,2782
0.00,37,37374,2849
0.00,38,38384,2916
0.00,39,39394,2983
0.00,40,40404,3050
0.02,41,41414,3117
0.02,42,42424,3184
0.01,43,43434,3251
0.00,44,44444,3318
0.02,45,45455,3385
0.01,46,46465,3452
0.01,47,47475,3519
0.02,48,48485,3586
0.01,49,49495,3653
0.02,50,50505,3720
0.01,51,51515,3787
0.04,52,52525,3854
0.03,53,53535,3921
0.04,54,54545,3988
0.03,55,55556,4055
0.05,56,56566,4122
0.01,57,57576,4189
0.01,58,58586,4256
0.04,59,59596,4323
0.05,60,60606,4390
0.04,61,61616,4457
0.04,62,62626,4524
0.01,63,63636,4591
0.06,64,64646,4658
0.01,65,65657,4725
0.05,66,66667,4792
0.01,67,67677,4859
0.04,68,68687,4926
0.01,69,69697,4993
0.00,70,70707,5060
0.01,71,71717,5127
0.01,72,72727,5194
0.00,73,73737,5261
0.02,74,74747,5328
0.01,75,75758,5395
0.00,76,76768,5462
0.00,77,77778,5529
0.01,78,78788,5596
0.01,79,79798,5663
0.03,80,80808,5730
0.00,81,81818,5797
0.00,82,82828,5864
0.01,83,83838,5931
0.00,84,84848,5998
0.00,85,85859,6065
0.00,86,86869,6132
0.00,87,87879,6199
0.00,88,88889,6266
0.00,89,89899,6333
0.00,90,90909,6400
0.00,91,91919,6467
0.00,92,92929,6534
0.00,93,93939,6601
0.00,94,94949,6668
0.00,95,95960,6735
0.00,96,96970,6802
0.00,97,97980,6870
0.02,98,98990,6937
0.00,99,100000,7004
0.03,99,100000,7010
0.02,98,98990,7058
0.00,97,97980,7098
0.02,96,96970,7138
0.03,95,95960,7178
0.00,94,94949,7218
0.04,93,93939,7258
0.02,92,92929,7298
0.01,91,91919,7339
0.01,90,90909,7379
0.02,89,89899,7419
0.01,88,88889,7459
0.00,87,87879,7499
0.01,86,86869,7539
0.01,85,85859,7579
0.00,84,84848,7619
0.04,83,83838,7659
0.02,82,82828,7699
0.01,81,81818,7739
0.03,80,80808,7779
0.04,79,79798,7819
0.06,78,78788,7859
0.01,77,77778,7899
0.01,76,76768,7939
0.04,75,75758,7979
0.00,74,74747,8019
0.02,73,73737,8059
0.00,72,72727,8099
0.02,71,71717,8139
0.01,70,70707,8179
0.02,69,69697,8219
0.04,68,68687,8259
0.02,67,67677,8299
0.02,66,66667,8339
0.04,65,65657,8379
0.00,64,64646,8419
0.02,63,63636,8459
0.02,62,62626,8499
0.02,61,61616,8539
0.04,60,60606,8579
0.02,59,59596,8619
0.01,58,58586,8659
0.00,57,57576,8699
0.02,56,56566,8739
0.01,55,55556,8779
0.00,54,54545,8819
0.03,53,53535,8859
0.01,52,52525,8899
0.00,51,51515,8939
0.03,50,50505,8979
0.00,0,0,8986
